Date,GPT(THB),GPW(USD),CPI,IR,POIL(USD),EXR
31/05/2022,30000,1856.4,106.62,0.5,112.1,34.4164
30/06/2022,30350,1817.8,107.58,0.5,106.67,34.9722
31/07/2022,30300,1755.81,107.41,0.5,95.42,36.3439
31/08/2022,29700,1723.83,107.46,0.75,91.85,35.879
30/09/2022,29800,1661.13,107.7,1,80.86,37.0439
31/10/2022,29550,1643.69,108.06,1,87.06,37.9204
30/11/2022,29450,1749.82,107.92,1.25,78.98,36.4265
31/12/2022,29850,1815.14,107.86,1.25,78.75,34.7953
31/01/2023,29800,1922.82,108.18,1.5,78.19,33.2248
28/02/2023,30200,1817.38,108.05,1.5,75.87,34.0083
31/03/2023,31950,1978.62,107.76,1.75,74.44,34.5029
30/04/2023,32200,1986.75,107.96,1.75,74.71,34.2848
31/05/2023,32200,1959.3,107.19,2,69.67,34.2532
30/06/2023,32000,1908.53,107.83,2,69.95,34.923
31/07/2023,31750,1959.49,107.82,2,80.23,34.6273
31/08/2023,32150,1942.61,108.41,2.25,81.14,35.0465
30/09/2023,32150,1865.43,108.02,2.5,89.7,35.8465
31/10/2023,34000,1996,107.72,2.5,81.96,36.5219
30/11/2023,33900,2044.8,107.45,2.5,77.79,35.4656
31/12/2023,33650,2065.15,106.96,2.5,72.15,34.9762
